Date,Open,High,Low,Close,Volume
05-04-1995,3.41142868,3.476100237,3.395260791,3.427596569,7263959
06-04-1995,3.427595821,3.524603135,3.39526005,3.508435249,6634014
07-04-1995,3.508434537,3.508434537,3.443763008,3.492266655,4860358
10-04-1995,3.459931131,3.492266898,3.443763247,3.476099014,3698015
11-04-1995,3.492267143,3.508435028,3.443763489,3.459931374,5862132
12-04-1995,3.621609794,3.653945556,3.492266406,3.573105812,18587623
13-04-1995,3.573107752,3.589275642,3.492268302,3.524604082,8782512
17-04-1995,3.540770302,3.573106067,3.492266655,3.492266655,8528781
18-04-1995,3.508435249,3.524603135,3.492267364,3.508435249,7699358
19-04-1995,3.492268723,3.589276075,3.45993294,3.589276075,12270089
20-04-1995,3.589275148,3.605443036,3.524603597,3.540771484,9685644
21-04-1995,3.540770302,3.540770302,3.476098773,3.492266655,11114049
24-04-1995,3.492268302,3.556939862,3.476100412,3.524604082,5985162
25-04-1995,3.524605005,3.556940794,3.508437111,3.556940794,8249292
26-04-1995,3.548435731,3.56478795,3.515731292,3.532083511,4152321
27-04-1995,3.515730619,3.532082836,3.483026187,3.515730619,5043670
28-04-1995,3.515731722,3.548436165,3.483027279,3.548436165,7309992
01-05-1995,3.548435731,3.56478795,3.515731292,3.532083511,5752529
02-05-1995,3.515729978,3.532082191,3.466673337,3.483025551,6977072
03-05-1995,3.483027983,3.515732433,3.450323534,3.466675758,11950322
04-05-1995,3.450322624,3.466674845,3.36856118,3.401265621,15713551
05-05-1995,3.433971309,3.466675758,3.384914293,3.466675758,12521355
08-05-1995,3.433971214,3.515732336,3.433971214,3.499380112,7887875
09-05-1995,3.515731722,3.564788386,3.515731722,3.548436165,8807721
10-05-1995,3.548435182,3.72830991,3.532082965,3.711957693,23586082
11-05-1995,3.711959075,3.777367967,3.597493172,3.597493172,16906035
12-05-1995,3.662903579,3.744664721,3.646551009,3.728312492,13442023
15-05-1995,3.728310754,3.842776299,3.728310754,3.842776299,15924537
16-05-1995,3.859128519,3.89183296,3.777367416,3.842776299,12732615
17-05-1995,3.859129138,3.875481362,3.777368022,3.793720245,11381481
18-05-1995,3.793719064,3.891832373,3.695605755,3.695605755,10572334
19-05-1995,3.662902129,3.777367682,3.646549566,3.744663239,8717024
22-05-1995,3.728311163,3.810072275,3.695606718,3.77736783,9912522
23-05-1995,3.793721468,3.875482611,3.761017011,3.859130383,12072255
24-05-1995,3.826424498,3.84277672,3.728311163,3.77736783,10024044
25-05-1995,3.777369074,3.777369074,3.679255707,3.761016846,9352723
26-05-1995,3.72830991,3.744662127,3.679253259,3.711957693,6348771
30-05-1995,3.711957693,3.72830991,3.695605476,3.711957693,4139717
31-05-1995,3.728310564,3.826423883,3.711958345,3.826423883,10988827
01-06-1995,3.826423763,3.973594078,3.761014885,3.92453742,23187674
02-06-1995,3.92453742,4.022650736,3.87548042,3.92453742,12881402
05-06-1995,3.940889236,4.006298106,3.891832241,3.989945889,9629472
06-06-1995,3.989946298,3.989946298,3.92453742,3.92453742,22109177
07-06-1995,3.957241859,4.006298517,3.908185201,3.92453742,8491516
08-06-1995,3.89183264,3.92453742,3.87548042,3.92453742,3884067
09-06-1995,3.908185675,3.908185675,3.842776448,3.87548089,4698967
12-06-1995,3.859128479,3.940889923,3.842776258,3.908185482,5861310
13-06-1995,3.940891521,3.957243748,3.891834497,3.891834497,4362211
14-06-1995,3.908187066,3.940891521,3.87548227,3.891834497,6258896
15-06-1995,3.87548089,3.924537896,3.859128669,3.87548089,7035436
16-06-1995,3.89183484,3.90818741,3.761017011,3.859130383,8782512
19-06-1995,3.89183292,3.957242143,3.875480699,3.908185482,8781964
20-06-1995,3.9081848,4.006298106,3.891832241,3.989945889,15825072
21-06-1995,4.006299403,4.071708295,3.98994718,4.039003849,12108150
22-06-1995,4.039004423,4.071708874,3.973595522,4.006299973,8380268
23-06-1995,3.973593671,3.989945889,3.957241453,3.989945889,5479069
26-06-1995,4.006299349,4.039003795,3.973594904,3.973594904,5144505
27-06-1995,3.989947173,4.022651619,3.957242727,3.957242727,6005165
28-06-1995,3.97359495,3.989947173,3.924538281,3.957242727,6857878
29-06-1995,3.957242143,3.973594364,3.875480699,3.908185482,4096149
30-06-1995,3.924539294,3.940891521,3.87548227,3.891834497,3826525
03-07-1995,3.908186013,3.973594904,3.891833449,3.973594904,2484159
05-07-1995,4.022651196,4.039003417,3.989946753,4.022651196,5736089
06-07-1995,4.022651814,4.202526616,3.989947367,4.186174393,14131701
07-07-1995,4.153469465,4.300639815,4.137117242,4.235230923,13536555
10-07-1995,4.267933765,4.300638199,4.18617268,4.300638199,9750857
11-07-1995,4.284287155,4.284287155,4.202526048,4.218878269,10239688
12-07-1995,4.235227991,4.300636839,4.21887578,4.267932415,7204499
13-07-1995,4.284287592,4.284287592,4.16982203,4.235230923,8995691
14-07-1995,4.186174393,4.202526616,4.120765156,4.186174393,10533151
17-07-1995,4.186174393,4.21887884,4.153469603,4.186174393,4792130
18-07-1995,4.153468874,4.169821436,4.022651107,4.055355549,9697974
19-07-1995,3.957243253,4.006299928,3.85912956,3.940891027,15940704
20-07-1995,3.826424692,3.842776915,3.777368022,3.793720245,17938772
21-07-1995,3.793720053,3.793720053,3.728311163,3.77736783,18485144
24-07-1995,3.761016846,3.793721301,3.72831239,3.761016846,11590001
25-07-1995,3.777367376,3.908185482,3.777367376,3.908185482,13777135
26-07-1995,3.90818741,3.90818741,3.842778154,3.859130383,8661127
27-07-1995,3.891834497,3.908187066,3.859130043,3.891834497,7103390
28-07-1995,3.859128323,3.859128323,3.826423883,3.826423883,8794843
31-07-1995,3.834356308,3.867411065,3.801301551,3.834356308,9075427
01-08-1995,3.817830986,3.817830986,3.784776211,3.784776211,14937560
02-08-1995,3.834356476,3.850883855,3.784774339,3.801301718,8014193
03-08-1995,3.768247366,3.801302128,3.768247366,3.768247366,6394804
04-08-1995,3.834356476,3.850883855,3.768246959,3.801301718,7308074
07-08-1995,3.784774172,3.867411065,3.784774172,3.834356308,5907070
08-08-1995,3.834356308,3.867411065,3.817828929,3.834356308,5817469
09-08-1995,3.850884271,3.850884271,3.768247366,3.768247366,8314232
10-08-1995,3.768249488,3.784776878,3.735194707,3.751722097,4563607
11-08-1995,3.751720092,3.768247473,3.702137947,3.702137947,6269583
14-08-1995,3.75172102,3.817830563,3.735193635,3.817830563,7093800
15-08-1995,3.801303598,3.834358373,3.784776211,3.784776211,5004487
16-08-1995,3.784774747,3.83435689,3.751719985,3.768247366,9251066
17-08-1995,3.76824802,3.76824802,3.718665869,3.735193253,5493043
18-08-1995,3.751720636,3.76824802,3.718665869,3.735193253,6645796
21-08-1995,3.751722097,3.784776878,3.735194707,3.751722097,6009001
22-08-1995,3.751722097,3.801304268,3.735194707,3.751722097,5644570
23-08-1995,3.768248406,3.817830563,3.768248406,3.817830563,6588528
24-08-1995,3.81783062,3.867412777,3.801303234,3.850885391,9678793
25-08-1995,3.867411235,3.867411235,3.784774339,3.801301718,6354799
28-08-1995,3.850885391,3.850885391,3.81783062,3.850885391,6053664
29-08-1995,3.850884158,3.999630928,3.850884158,3.999630928,14653139
30-08-1995,4.049212863,4.049212863,3.999630724,4.016158104,6449332
31-08-1995,4.016160797,4.098797751,4.016160797,4.06574297,8395339
01-09-1995,4.065739778,4.181431422,4.0492124,4.131849289,12241866
05-09-1995,4.181433502,4.280598164,4.164906116,4.280598164,14652591
06-09-1995,4.28059667,4.31365143,4.197959423,4.197959423,10815654
07-09-1995,4.181431422,4.214486523,4.115321911,4.131849289,8496448
08-09-1995,4.14837888,4.231016159,4.14837888,4.231016159,9472191
11-09-1995,4.231016159,4.231016159,4.19796104,4.231016159,4510176
12-09-1995,4.098795141,4.115322522,4.049213001,4.082267761,11584521
13-09-1995,4.06574045,4.06574045,3.966576167,3.999630928,15439269
14-09-1995,3.983106016,4.06574297,3.950051234,4.06574297,18676950
15-09-1995,4.098796721,4.247543546,4.098796721,4.231016159,23061082
18-09-1995,4.197959423,4.247541909,4.164904663,4.197959423,8599201
19-09-1995,4.164906236,4.197961009,4.115324076,4.148378849,5777738
20-09-1995,4.148377079,4.26406908,4.131849699,4.26406908,8244908
21-09-1995,4.247542812,4.247542812,4.115323397,4.164905548,8915406
22-09-1995,4.098795891,4.115323274,4.049213741,4.098795891,6992690
25-09-1995,4.131851463,4.148378849,4.082269303,4.148378849,3399620
26-09-1995,4.148378312,4.148378312,4.098796159,4.115323544,4198354
27-09-1995,4.082267156,4.131849289,4.032685022,4.131849289,7559888
28-09-1995,4.148377282,4.247541909,4.131849902,4.197959423,9081181
29-09-1995,4.181433081,4.214488195,4.115323544,4.115323544,6871579
02-10-1995,4.115325142,4.164907314,4.06574297,4.06574297,6425219
03-10-1995,4.065741961,4.131851507,3.983105027,4.032687187,8758400
04-10-1995,3.966578302,3.983105692,3.916995789,3.933523178,7683191
05-10-1995,3.950050408,3.983105183,3.916995288,3.983105183,8862523
06-10-1995,3.983103958,4.032686105,3.966576576,3.966576576,8282173
09-10-1995,3.950049686,3.983104454,3.900467187,3.916994572,7368630
10-10-1995,3.834356214,3.916993105,3.817828836,3.900465727,11308868
11-10-1995,3.916994084,3.999631341,3.916994084,3.966576576,11141175
12-10-1995,3.999631243,4.231014934,3.999631243,4.214487553,22634999
13-10-1995,4.247541909,4.28059667,4.181432043,4.197959423,15568327
16-10-1995,4.197959423,4.197959423,4.065740381,4.082267761,8578102
17-10-1995,4.131852533,4.131852533,4.016160797,4.06574297,6011193
18-10-1995,4.032687345,4.115324281,3.966577795,3.983105183,10114740
19-10-1995,3.883940513,3.99963257,3.883940513,3.983105183,10573156
20-10-1995,3.966576576,3.983103958,3.933521466,3.966576576,7272727
23-10-1995,3.933521956,3.96657707,3.900467187,3.916994572,6686349
24-10-1995,3.916994572,3.933521956,3.850885034,3.916994572,8439180
25-10-1995,3.900466409,3.900466409,3.850884266,3.883939028,8797035
26-10-1995,3.867412777,3.883940163,3.801303234,3.850885391,7953637
27-10-1995,3.834358841,3.950050913,3.817831452,3.933523178,7927607
30-10-1995,3.980347894,3.980347894,3.930175499,3.963623762,5531678
31-10-1995,3.963624658,3.997073279,3.84655571,3.84655571,20381007
01-11-1995,3.880005246,3.880005246,3.779660401,3.813108683,11111308
02-11-1995,3.813106656,3.863279052,3.779658392,3.854916811,13381467
03-11-1995,3.829830885,3.846555017,3.762934355,3.829830885,11732759
06-11-1995,3.813107439,3.913452252,3.762935032,3.84655571,12372842
07-11-1995,3.84655571,3.930176387,3.813107439,3.84655571,9915262
08-11-1995,3.796384096,3.829832374,3.762935818,3.796384096,9837444
09-11-1995,3.813108295,3.813108295,3.712763109,3.762935877,11544515
10-11-1995,3.729487628,3.896729387,3.712763487,3.813108683,7324514
13-11-1995,3.796384542,3.846556965,3.746212119,3.813108683,4969962
14-11-1995,3.829831574,3.863279845,3.813107439,3.84655571,4089573
15-11-1995,3.829831732,3.913452413,3.829831732,3.896728277,5661010
16-11-1995,3.913452413,3.93017655,3.880004141,3.896728277,5453586
17-11-1995,3.896727415,3.896727415,3.813106752,3.829830885,8343277
20-11-1995,3.846556131,3.880004406,3.813107857,3.880004406,5231365
21-11-1995,3.829831732,3.913452413,3.762935188,3.896728277,11065001
22-11-1995,3.880004141,3.980348958,3.880004141,3.896728277,13469971
24-11-1995,3.846556131,3.896728543,3.846556131,3.880004406,4347415
27-11-1995,3.880003955,3.913452226,3.846555684,3.863279819,9088032
28-11-1995,3.86327915,3.880003282,3.79638262,3.829830885,6911584
29-11-1995,3.846555684,3.89672809,3.829831549,3.863279819,6342195
30-11-1995,3.863280926,3.863280926,3.779660225,3.779660225,7810605
01-12-1995,3.813107413,3.863279819,3.779659143,3.863279819,7325610
04-12-1995,3.880005036,4.013798506,3.846556756,3.997074366,15635185
05-12-1995,3.946899938,3.997072686,3.84655514,3.913451672,10948548
06-12-1995,3.89672809,3.913452226,3.829831549,3.863279819,9257369
07-12-1995,3.829830885,3.86327915,3.813106752,3.829830885,9269151
08-12-1995,3.846555017,3.880003282,3.79638262,3.829830885,8009809
11-12-1995,3.829831574,3.880003981,3.829831574,3.84655571,6078051
12-12-1995,3.813108235,3.846556513,3.779659957,3.796384096,7696892
13-12-1995,3.79638262,3.846555017,3.779658487,3.829830885,5774176
14-12-1995,3.829832374,3.846556513,3.779659957,3.796384096,6742795
15-12-1995,3.796384365,3.796384365,3.746211945,3.779660225,14134167
18-12-1995,3.762936085,3.829832645,3.729487455,3.779660225,6877881
19-12-1995,3.762934355,3.846555017,3.746210222,3.829830885,9425336
20-12-1995,3.846555869,3.963624822,3.846555869,3.896728277,11117885
21-12-1995,3.946900368,3.997073122,3.930176233,3.946900368,9639062
22-12-1995,3.963623762,3.997072375,3.829830708,3.963623762,4942287
26-12-1995,3.963623762,3.997072375,3.94689963,3.963623762,2334824
27-12-1995,3.946900955,3.963625093,3.846556131,3.880004406,3193566
28-12-1995,3.863279819,3.880003955,3.829831549,3.863279819,3373316
29-12-1995,3.863279819,3.913452226,3.829831549,3.863279819,4774320
02-01-1996,3.863279718,3.930176258,3.846555583,3.930176258,5622923
03-01-1996,3.963625736,4.097419206,3.946901596,3.997074366,13722881
04-01-1996,4.030520639,4.04724477,3.913451367,3.963623762,13385577
05-01-1996,3.913452226,3.913452226,3.846555684,3.863279819,12888526
08-01-1996,3.829831549,3.963624632,3.813107413,3.863279819,5628677
09-01-1996,3.829832645,3.846556786,3.712763315,3.779660225,12416136
10-01-1996,3.71276289,3.746211516,3.662590475,3.679314613,12523821
11-01-1996,3.712763315,3.796384365,3.679315034,3.779660225,10274761
12-01-1996,3.796382897,3.796382897,3.696037745,3.712761879,7066673
